obcina,prenocitve_2023,prebivalci_2023,nocitve_na_prebivalca_2023,cena_m2_2023,neto_placa,povprecna_starost,selitveni_prirast
Bled,1082546,8129,133.2,3860,1361.53,46.2,-1.8
Bohinj,823190,5256,156.6,3930,1199.69,45.4,-30.8
Bovec,557872,3050,182.9,1360,1280.42,49.2,4.9
Celje,58789,49104,1.2,2180,1386.38,44.7,12.1
Koper,360128,53915,6.7,3890,1473.88,44.5,9.7
Kranj,120143,57081,2.1,3100,1448.37,43.1,-0.5
Kranjska Gora,961144,5236,183.6,4570,1335.75,48.6,-111.3
Ljubljana,2299336,297432,7.7,3990,1634.63,42.9,5.5
Maribor,531614,113245,4.7,2130,1384.12,45.2,11.5
Murska Sobota,31938,18643,1.7,1300,1399.23,47.4,2.8
Nova Gorica,178236,32013,5.6,2590,1429.63,45.9,1.1
Novo mesto,57310,38189,1.5,2530,1666.92,42.4,7.3
Piran,1818936,18073,100.6,3890,1257.71,47.0,-2.7
